Poster_Link,Series_Title,Genre,Director,metadata,metadata-prep,metadata-prep-lemm
"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Shawshank Redemption,Drama,Frank Darabont,"Drama Frank Darabont Tim Robbins Morgan Freeman Bob Gunton William Sadler Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",drama frank darabont tim robbins morgan freeman bob gunton william sadler two imprisoned men bond number years finding solace eventual redemption acts common decency,drama frank darabont tim robbins morgan freeman bob gunton william sadler two imprisoned men bond number year finding solace eventual redemption act common decency
"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather,"Crime, Drama",Francis Ford Coppola,"Crime, Drama Francis Ford Coppola Marlon Brando Al Pacino James Caan Diane Keaton An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.",crime drama francis ford coppola marlon brando al pacino james caan diane keaton organized crime dynastys aging patriarch transfers control clandestine empire reluctant son,crime drama francis ford coppola marlon brando al pacino james caan diane keaton organized crime dynasty aging patriarch transfer control clandestine empire reluctant son
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight,"Action, Crime, Drama",Christopher Nolan,"Action, Crime, Drama Christopher Nolan Christian Bale Heath Ledger Aaron Eckhart Michael Caine When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",action crime drama christopher nolan christian bale heath ledger aaron eckhart michael caine menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice,action crime drama christopher nolan christian bale heath ledger aaron eckhart michael caine menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice
"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather: Part II,"Crime, Drama",Francis Ford Coppola,"Crime, Drama Francis Ford Coppola Al Pacino Robert De Niro Robert Duvall Diane Keaton The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",crime drama francis ford coppola al pacino robert de niro robert duvall diane keaton early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate,crime drama francis ford coppola al pacino robert de niro robert duvall diane keaton early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate
"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",12 Angry Men,"Crime, Drama",Sidney Lumet,"Crime, Drama Sidney Lumet Henry Fonda Lee J. Cobb Martin Balsam John Fiedler A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",crime drama sidney lumet henry fonda lee j cobb martin balsam john fiedler jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence,crime drama sidney lumet henry fonda lee j cobb martin balsam john fiedler jury holdout attempt prevent miscarriage justice forcing colleague reconsider evidence
"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Peter Jackson,"Action, Adventure, Drama Peter Jackson Elijah Wood Viggo Mortensen Ian McKellen Orlando Bloom Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",action adventure drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring,action adventure drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring
"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",Pulp Fiction,"Crime, Drama",Quentin Tarantino,"Crime, Drama Quentin Tarantino John Travolta Uma Thurman Samuel L. Jackson Bruce Willis The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willis lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption,crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willis life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemption
"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Schindler's List,"Biography, Drama, History",Steven Spielberg,"Biography, Drama, History Steven Spielberg Liam Neeson Ralph Fiennes Ben Kingsley Caroline Goodall In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",biography drama history steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis,biography drama history steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazi
"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Inception,"Action, Adventure, Sci-Fi",Christopher Nolan,"Action, Adventure, Sci-Fi Christopher Nolan Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page Ken Watanabe A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",action adventure scifi christopher nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanabe thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo,action adventure scifi christopher nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanabe thief steal corporate secret use dreamsharing technology given inverse task planting idea mind ceo
"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Fight Club,Drama,David Fincher,"Drama David Fincher Brad Pitt Edward Norton Meat Loaf Zach Grenier An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",drama david fincher brad pitt edward norton meat loaf zach grenier insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much,drama david fincher brad pitt edward norton meat loaf zach grenier insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much
"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",Peter Jackson,"Action, Adventure, Drama Peter Jackson Elijah Wood Ian McKellen Orlando Bloom Sean Bean A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",action adventure drama peter jackson elijah wood ian mckellen orlando bloom sean bean meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron,action adventure drama peter jackson elijah wood ian mckellen orlando bloom sean bean meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron
"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",Forrest Gump,"Drama, Romance",Robert Zemeckis,"Drama, Romance Robert Zemeckis Tom Hanks Robin Wright Gary Sinise Sally Field The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",drama romance robert zemeckis tom hanks robin wright gary sinise sally field presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunited childhood sweetheart,drama romance robert zemeckis tom hank robin wright gary sinise sally field presidency kennedy johnson event vietnam watergate historical event unfold perspective alabama man iq whose desire reunited childhood sweetheart
"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Il buono, il brutto, il cattivo",Western,Sergio Leone,Western Sergio Leone Clint Eastwood Eli Wallach Lee Van Cleef Aldo Giuffrè A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,western sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery,western sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery
"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",Peter Jackson,"Action, Adventure, Drama Peter Jackson Elijah Wood Ian McKellen Viggo Mortensen Orlando Bloom While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",action adventure drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard,action adventure drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengard
"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Matrix,"Action, Sci-Fi",Lana Wachowski,"Action, Sci-Fi Lana Wachowski Lilly Wachowski Keanu Reeves Laurence Fishburne Carrie-Anne Moss When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",action scifi lana wachowski lilly wachowski keanu reeves laurence fishburne carrieanne moss beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence,action scifi lana wachowski lilly wachowski keanu reef laurence fishburne carrieanne moss beautiful stranger lead computer hacker neo forbidding underworld discovers shocking truththe life know elaborate deception evil cyberintelligence
"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Goodfellas,"Biography, Crime, Drama",Martin Scorsese,"Biography, Crime, Drama Martin Scorsese Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",biography crime drama martin scorsese robert de niro ray liotta joe pesci lorraine bracco story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italianamerican crime syndicate,biography crime drama martin scorsese robert de niro ray liotta joe pesci lorraine bracco story henry hill life mob covering relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate
"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",Irvin Kershner,"Action, Adventure, Fantasy Irvin Kershner Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",action adventure fantasy irvin kershner mark hamill harrison ford carrie fisher billy dee williams rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy,action adventure fantasy irvin kershner mark hamill harrison ford carrie fisher billy dee williams rebel brutally overpowered empire ice planet hoth luke skywalker begin jedi training yoda friend pursued darth vader bounty hunter named boba fett galaxy
"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",One Flew Over the Cuckoo's Nest,Drama,Milos Forman,"Drama Milos Forman Jack Nicholson Louise Fletcher Michael Berryman Peter Brocco A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",drama milos forman jack nicholson louise fletcher michael berryman peter brocco criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients,drama milo forman jack nicholson louise fletcher michael berryman peter brocco criminal pleads insanity admitted mental institution rebel oppressive nurse rally scared patient
